"","V1","V2"
"c.0..7.",0,7
"c.0..17.",0,17
"c.0..25.",0,25
"c.0..35.",0,35
"c.0..43.",0,43
"c.0..53.",0,53
"c.0..81.",0,81
"c.0..102.",0,102
"c.0..129.",0,129
"c.0..131.",0,131
"c.0..136.",0,136
"c.0..167.",0,167
"c.0..171.",0,171
"c.0..212.",0,212
"c.0..261.",0,261
"c.0..262.",0,262
"c.0..274.",0,274
"c.0..291.",0,291
"c.0..347.",0,347
"c.0..386.",0,386
"c.0..406.",0,406
"c.0..412.",0,412
"c.0..434.",0,434
"c.0..451.",0,451
"c.0..452.",0,452
"c.0..474.",0,474
"c.0..476.",0,476
"c.0..498.",0,498
"c.0..511.",0,511
"c.1..10.",1,10
"c.1..18.",1,18
"c.1..20.",1,20
"c.1..23.",1,23
"c.1..55.",1,55
"c.1..75.",1,75
"c.1..105.",1,105
"c.1..107.",1,107
"c.1..143.",1,143
"c.1..160.",1,160
"c.1..162.",1,162
"c.1..165.",1,165
"c.1..192.",1,192
"c.1..218.",1,218
"c.1..241.",1,241
"c.1..257.",1,257
"c.1..272.",1,272
"c.1..275.",1,275
"c.1..295.",1,295
"c.1..325.",1,325
"c.1..351.",1,351
"c.1..361.",1,361
"c.1..366.",1,366
"c.1..377.",1,377
"c.1..422.",1,422
"c.1..440.",1,440
"c.1..478.",1,478
"c.1..504.",1,504
"c.1..508.",1,508
"c.2..17.",2,17
"c.2..43.",2,43
"c.2..69.",2,69
"c.2..136.",2,136
"c.2..137.",2,137
"c.2..152.",2,152
"c.2..166.",2,166
"c.2..172.",2,172
"c.2..177.",2,177
"c.2..230.",2,230
"c.2..235.",2,235
"c.2..256.",2,256
"c.2..304.",2,304
"c.2..305.",2,305
"c.2..316.",2,316
"c.2..330.",2,330
"c.2..342.",2,342
"c.2..347.",2,347
"c.2..353.",2,353
"c.2..399.",2,399
"c.2..436.",2,436
"c.2..442.",2,442
"c.2..448.",2,448
"c.2..461.",2,461
"c.2..466.",2,466
"c.2..473.",2,473
"c.2..474.",2,474
"c.2..486.",2,486
"c.2..493.",2,493
"c.3..32.",3,32
"c.3..37.",3,37
"c.3..47.",3,47
"c.3..56.",3,56
"c.3..63.",3,63
"c.3..82.",3,82
"c.3..94.",3,94
"c.3..110.",3,110
"c.3..115.",3,115
"c.3..118.",3,118
"c.3..126.",3,126
"c.3..135.",3,135
"c.3..148.",3,148
"c.3..216.",3,216
"c.3..232.",3,232
"c.3..254.",3,254
"c.3..267.",3,267
"c.3..268.",3,268
"c.3..302.",3,302
"c.3..319.",3,319
"c.3..338.",3,338
"c.3..355.",3,355
"c.3..381.",3,381
"c.3..384.",3,384
"c.3..410.",3,410
"c.3..425.",3,425
"c.3..453.",3,453
"c.3..505.",3,505
"c.3..507.",3,507
"c.4..62.",4,62
"c.4..73.",4,73
"c.4..103.",4,103
"c.4..104.",4,104
"c.4..120.",4,120
"c.4..133.",4,133
"c.4..141.",4,141
"c.4..142.",4,142
"c.4..144.",4,144
"c.4..149.",4,149
"c.4..150.",4,150
"c.4..157.",4,157
"c.4..185.",4,185
"c.4..197.",4,197
"c.4..269.",4,269
"c.4..287.",4,287
"c.4..296.",4,296
"c.4..299.",4,299
"c.4..300.",4,300
"c.4..331.",4,331
"c.4..363.",4,363
"c.4..364.",4,364
"c.4..374.",4,374
"c.4..420.",4,420
"c.4..432.",4,432
"c.4..455.",4,455
"c.4..459.",4,459
"c.4..487.",4,487
"c.4..489.",4,489
"c.5..11.",5,11
"c.5..12.",5,12
"c.5..66.",5,66
"c.5..69.",5,69
"c.5..72.",5,72
"c.5..83.",5,83
"c.5..111.",5,111
"c.5..113.",5,113
"c.5..129.",5,129
"c.5..137.",5,137
"c.5..166.",5,166
"c.5..171.",5,171
"c.5..224.",5,224
"c.5..228.",5,228
"c.5..246.",5,246
"c.5..260.",5,260
"c.5..284.",5,284
"c.5..315.",5,315
"c.5..320.",5,320
"c.5..392.",5,392
"c.5..421.",5,421
"c.5..438.",5,438
"c.5..439.",5,439
"c.5..442.",5,442
"c.5..446.",5,446
"c.5..457.",5,457
"c.5..471.",5,471
"c.5..486.",5,486
"c.5..492.",5,492
"c.6..30.",6,30
"c.6..40.",6,40
"c.6..41.",6,41
"c.6..81.",6,81
"c.6..83.",6,83
"c.6..102.",6,102
"c.6..112.",6,112
"c.6..129.",6,129
"c.6..145.",6,145
"c.6..171.",6,171
"c.6..196.",6,196
"c.6..208.",6,208
"c.6..212.",6,212
"c.6..227.",6,227
"c.6..229.",6,229
"c.6..274.",6,274
"c.6..286.",6,286
"c.6..292.",6,292
"c.6..307.",6,307
"c.6..334.",6,334
"c.6..340.",6,340
"c.6..347.",6,347
"c.6..412.",6,412
"c.6..457.",6,457
"c.6..465.",6,465
"c.6..483.",6,483
"c.6..490.",6,490
"c.6..498.",6,498
"c.6..511.",6,511
"c.7..17.",7,17
"c.7..40.",7,40
"c.7..81.",7,81
"c.7..119.",7,119
"c.7..131.",7,131
"c.7..136.",7,136
"c.7..145.",7,145
"c.7..166.",7,166
"c.7..167.",7,167
"c.7..193.",7,193
"c.7..203.",7,203
"c.7..212.",7,212
"c.7..304.",7,304
"c.7..316.",7,316
"c.7..340.",7,340
"c.7..347.",7,347
"c.7..359.",7,359
"c.7..405.",7,405
"c.7..417.",7,417
"c.7..423.",7,423
"c.7..436.",7,436
"c.7..444.",7,444
"c.7..457.",7,457
"c.7..474.",7,474
"c.7..477.",7,477
"c.7..481.",7,481
"c.7..498.",7,498
"c.7..511.",7,511
"c.8..14.",8,14
"c.8..24.",8,24
"c.8..30.",8,30
"c.8..35.",8,35
"c.8..40.",8,40
"c.8..81.",8,81
"c.8..87.",8,87
"c.8..106.",8,106
"c.8..112.",8,112
"c.8..119.",8,119
"c.8..125.",8,125
"c.8..145.",8,145
"c.8..167.",8,167
"c.8..189.",8,189
"c.8..196.",8,196
"c.8..210.",8,210
"c.8..262.",8,262
"c.8..263.",8,263
"c.8..274.",8,274
"c.8..286.",8,286
"c.8..310.",8,310
"c.8..331.",8,331
"c.8..340.",8,340
"c.8..393.",8,393
"c.8..405.",8,405
"c.8..434.",8,434
"c.8..444.",8,444
"c.8..494.",8,494
"c.9..37.",9,37
"c.9..49.",9,49
"c.9..50.",9,50
"c.9..56.",9,56
"c.9..63.",9,63
"c.9..82.",9,82
"c.9..101.",9,101
"c.9..110.",9,110
"c.9..115.",9,115
"c.9..126.",9,126
"c.9..135.",9,135
"c.9..148.",9,148
"c.9..205.",9,205
"c.9..242.",9,242
"c.9..255.",9,255
"c.9..289.",9,289
"c.9..301.",9,301
"c.9..355.",9,355
"c.9..360.",9,360
"c.9..380.",9,380
"c.9..404.",9,404
"c.9..410.",9,410
"c.9..428.",9,428
"c.9..470.",9,470
"c.9..472.",9,472
"c.9..480.",9,480
"c.9..507.",9,507
"c.9..510.",9,510
"c.10..18.",10,18
"c.10..20.",10,20
"c.10..23.",10,23
"c.10..55.",10,55
"c.10..75.",10,75
"c.10..89.",10,89
"c.10..105.",10,105
"c.10..107.",10,107
"c.10..143.",10,143
"c.10..160.",10,160
"c.10..165.",10,165
"c.10..218.",10,218
"c.10..241.",10,241
"c.10..257.",10,257
"c.10..275.",10,275
"c.10..295.",10,295
"c.10..313.",10,313
"c.10..325.",10,325
"c.10..351.",10,351
"c.10..361.",10,361
"c.10..377.",10,377
"c.10..411.",10,411
"c.10..422.",10,422
"c.10..440.",10,440
"c.10..478.",10,478
"c.10..488.",10,488
"c.10..504.",10,504
"c.10..508.",10,508
"c.11..25.",11,25
"c.11..38.",11,38
"c.11..46.",11,46
"c.11..53.",11,53
"c.11..60.",11,60
"c.11..86.",11,86
"c.11..96.",11,96
"c.11..111.",11,111
"c.11..129.",11,129
"c.11..132.",11,132
"c.11..147.",11,147
"c.11..153.",11,153
"c.11..182.",11,182
"c.11..217.",11,217
"c.11..224.",11,224
"c.11..297.",11,297
"c.11..306.",11,306
"c.11..333.",11,333
"c.11..386.",11,386
"c.11..391.",11,391
"c.11..406.",11,406
"c.11..433.",11,433
"c.11..438.",11,438
"c.11..449.",11,449
"c.11..452.",11,452
"c.11..464.",11,464
"c.11..490.",11,490
"c.11..492.",11,492
"c.11..497.",11,497
"c.12..53.",12,53
"c.12..66.",12,66
"c.12..67.",12,67
"c.12..69.",12,69
"c.12..72.",12,72
"c.12..111.",12,111
"c.12..129.",12,129
"c.12..147.",12,147
"c.12..155.",12,155
"c.12..166.",12,166
"c.12..171.",12,171
"c.12..228.",12,228
"c.12..230.",12,230
"c.12..294.",12,294
"c.12..372.",12,372
"c.12..386.",12,386
"c.12..392.",12,392
"c.12..394.",12,394
"c.12..417.",12,417
"c.12..442.",12,442
"c.12..446.",12,446
"c.12..457.",12,457
"c.12..464.",12,464
"c.12..465.",12,465
"c.12..471.",12,471
"c.12..486.",12,486
"c.12..492.",12,492
"c.12..495.",12,495
"c.13..32.",13,32
"c.13..47.",13,47
"c.13..56.",13,56
"c.13..79.",13,79
"c.13..94.",13,94
"c.13..97.",13,97
"c.13..98.",13,98
"c.13..126.",13,126
"c.13..148.",13,148
"c.13..154.",13,154
"c.13..200.",13,200
"c.13..266.",13,266
"c.13..267.",13,267
"c.13..302.",13,302
"c.13..321.",13,321
"c.13..341.",13,341
"c.13..355.",13,355
"c.13..378.",13,378
"c.13..381.",13,381
"c.13..384.",13,384
"c.13..387.",13,387
"c.13..398.",13,398
"c.13..403.",13,403
"c.13..410.",13,410
"c.13..425.",13,425
"c.13..431.",13,431
"c.13..443.",13,443
"c.13..467.",13,467
"c.13..505.",13,505
"c.14..24.",14,24
"c.14..30.",14,30
"c.14..35.",14,35
"c.14..40.",14,40
"c.14..106.",14,106
"c.14..119.",14,119
"c.14..125.",14,125
"c.14..130.",14,130
"c.14..138.",14,138
"c.14..145.",14,145
"c.14..167.",14,167
"c.14..189.",14,189
"c.14..196.",14,196
"c.14..210.",14,210
"c.14..214.",14,214
"c.14..229.",14,229
"c.14..262.",14,262
"c.14..274.",14,274
"c.14..286.",14,286
"c.14..331.",14,331
"c.14..340.",14,340
"c.14..356.",14,356
"c.14..383.",14,383
"c.14..405.",14,405
"c.14..434.",14,434
"c.14..444.",14,444
"c.14..494.",14,494
"c.15..21.",15,21
"c.15..24.",15,24
"c.15..30.",15,30
"c.15..35.",15,35
"c.15..87.",15,87
"c.15..125.",15,125
"c.15..189.",15,189
"c.15..214.",15,214
"c.15..222.",15,222
"c.15..223.",15,223
"c.15..224.",15,224
"c.15..225.",15,225
"c.15..237.",15,237
"c.15..243.",15,243
"c.15..262.",15,262
"c.15..271.",15,271
"c.15..274.",15,274
"c.15..276.",15,276
"c.15..309.",15,309
"c.15..327.",15,327
"c.15..356.",15,356
"c.15..395.",15,395
"c.15..415.",15,415
"c.15..434.",15,434
"c.15..438.",15,438
"c.15..460.",15,460
"c.15..463.",15,463
"c.15..476.",15,476
"c.15..494.",15,494
"c.16..32.",16,32
"c.16..34.",16,34
"c.16..37.",16,37
"c.16..47.",16,47
"c.16..58.",16,58
"c.16..59.",16,59
"c.16..94.",16,94
"c.16..97.",16,97
"c.16..118.",16,118
"c.16..154.",16,154
"c.16..216.",16,216
"c.16..232.",16,232
"c.16..254.",16,254
"c.16..266.",16,266
"c.16..267.",16,267
"c.16..273.",16,273
"c.16..322.",16,322
"c.16..338.",16,338
"c.16..381.",16,381
"c.16..384.",16,384
